,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 2 April 2019],,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jan 2015-Dec 2015,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,Numerator,Denominator,% with degree or equivalent and above - aged 16-64,Conf,Numerator,Denominator,% with higher education below degree level - aged 16-64,Conf,Numerator,Denominator,% with GCE A level or equivalent - aged 16-64,Conf,Numerator,Denominator,% with GCSE grades A-C or equivalent - aged 16-64,Conf,Numerator,Denominator,% with other qualifications (GCSE) - aged 16-64,Conf,Numerator,Denominator,% with no qualifications (GCSE) - aged 16-64,Conf
Scarborough,E07000168,16900,63800,26.4,6.8,8600,63800,13.5,5.3,13300,63800,20.9,6.3,14900,63800,23.4,6.5,5000,63800,7.9,4.2,5000,63800,7.8,4.1
Selby,E07000169,12700,51600,24.6,7.1,5700,51600,11,5.1,15400,51600,29.8,7.5,8600,51600,16.7,6.1,4900,51600,9.5,4.8,4300,51600,8.4,4.5
Barnsley,E08000016,22800,149200,15.3,2.2,11500,149200,7.7,1.6,36800,149200,24.7,2.6,41800,149200,28,2.7,19700,149200,13.2,2.1,16600,149200,11.1,1.9
Doncaster,E08000017,25500,184400,13.8,2.3,16900,184400,9.1,1.9,49300,184400,26.7,3,50100,184400,27.2,3,23900,184400,13,2.3,18700,184400,10.2,2
Rotherham,E08000018,29300,157200,18.7,2.6,12700,157200,8.1,1.8,39400,157200,25.1,2.9,41300,157200,26.3,2.9,18500,157200,11.8,2.1,16000,157200,10.2,2
Sheffield,E08000019,110500,365900,30.2,3,23000,365900,6.3,1.6,85000,365900,23.2,2.7,70400,365900,19.2,2.6,40100,365900,10.9,2,37000,365900,10.1,2
Bradford,E08000032,67000,318900,21,2.5,20600,318900,6.5,1.5,67000,318900,21,2.5,76400,318900,24,2.6,38900,318900,12.2,2,49000,318900,15.4,2.2
Calderdale,E08000033,34400,125900,27.3,2.9,10500,125900,8.3,1.8,31700,125900,25.1,2.8,26400,125900,21,2.6,13800,125900,10.9,2,9200,125900,7.3,1.7
Kirklees,E08000034,68800,262000,26.3,2.9,19300,262000,7.4,1.7,63700,262000,24.3,2.8,59400,262000,22.7,2.8,22400,262000,8.5,1.9,28400,262000,10.8,2.1
Leeds,E08000035,132300,490700,27,2.5,34900,490700,7.1,1.4,133100,490700,27.1,2.5,100800,490700,20.5,2.2,45200,490700,9.2,1.6,44400,490700,9,1.6
Wakefield,E08000036,32800,202800,16.2,2.2,15100,202800,7.4,1.6,52300,202800,25.8,2.7,51400,202800,25.3,2.6,27900,202800,13.8,2.1,23300,202800,11.5,1.9
