,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 2 April 2019],,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jul 2015-Jun 2016,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,Numerator,Denominator,% who gave national identity as British,Conf,Numerator,Denominator,% who gave national identity as English,Conf,Numerator,Denominator,% who gave national identity as Irish,Conf,Numerator,Denominator,% who gave national identity as Other,Conf,Numerator,Denominator,% who gave national identity as Scottish,Conf,Numerator,Denominator,% who gave national identity as Welsh,Conf
Canterbury,E07000106,77600,156500,49.6,5.9,105400,156500,67.4,5.5,!,156500,!,!,10200,156500,6.5,2.9,!,156500,!,!,!,156500,!,!
Dartford,E07000107,45700,105000,43.5,7,78500,105000,74.8,6.1,!,105000,!,!,22300,105000,21.3,5.8,2300,105000,2.2,*,!,105000,!,!
Dover,E07000108,57300,111400,51.4,6.4,65200,111400,58.5,6.4,!,111400,!,!,9100,111400,8.2,3.5,2400,111400,2.1,*,!,111400,!,!
Gravesham,E07000109,41300,104400,39.6,7.9,63800,104400,61.1,7.9,!,104400,!,!,22700,104400,21.7,6.7,#,104400,2.2,*,!,104400,!,!
Maidstone,E07000110,68300,161700,42.2,4.9,109600,161700,67.8,4.7,!,161700,!,!,20400,161700,12.6,3.3,!,161700,!,!,!,161700,!,!
Sevenoaks,E07000111,43500,117700,36.9,6.4,80900,117700,68.7,6.1,!,117700,!,!,6200,117700,5.2,2.9,4900,117700,4.1,*,!,117700,!,!
Folkestone and Hythe,E07000112,42100,108500,38.8,6.2,77600,108500,71.5,5.7,!,108500,!,!,3800,108500,3.5,*,2600,108500,2.4,*,!,108500,!,!
Swale,E07000113,58800,140600,41.9,5.5,104600,140600,74.4,4.9,!,140600,!,!,5900,140600,4.2,*,3700,140600,2.6,*,!,140600,!,!
Thanet,E07000114,64500,138000,46.8,5.8,96500,138000,70,5.3,!,138000,!,!,6700,138000,4.8,2.5,!,138000,!,!,!,138000,!,!
Tonbridge and Malling,E07000115,57200,124800,45.8,5.6,89300,124800,71.6,5.1,!,124800,!,!,4800,124800,3.9,2.2,!,124800,!,!,4300,124800,3.4,2.1
Tunbridge Wells,E07000116,66400,114200,58.1,6.5,72200,114200,63.2,6.4,!,114200,!,!,12100,114200,10.6,4.1,!,114200,!,!,!,114200,!,!
Cherwell,E07000177,75100,144700,51.9,5,56200,144700,38.9,4.9,!,144700,!,!,19700,144700,13.6,3.5,1100,144700,0.7,*,!,144700,!,!
Oxford,E07000178,83400,156600,53.3,5.3,29100,156600,18.6,4.1,!,156600,!,!,44800,156600,28.6,4.8,#,156600,0.8,*,!,156600,!,!
South Oxfordshire,E07000179,81900,134500,60.9,5.3,56500,134500,42,5.4,!,134500,!,!,14600,134500,10.8,3.4,1500,134500,1.1,*,1100,134500,0.8,*
Vale of White Horse,E07000180,70600,124000,56.9,5.9,45000,124000,36.2,5.7,!,124000,!,!,14500,124000,11.7,3.8,!,124000,!,!,2800,124000,2.2,*
West Oxfordshire,E07000181,45900,105200,43.6,6,57300,105200,54.5,6,!,105200,!,!,5200,105200,4.9,2.6,1400,105200,1.4,*,!,105200,!,!
Elmbridge,E07000207,63100,132100,47.8,5.6,59800,132100,45.3,5.5,!,132100,!,!,28700,132100,21.8,4.6,!,132100,!,!,2000,132100,1.5,*
Epsom and Ewell,E07000208,47600,78700,60.5,8.1,30100,78700,38.2,8.1,!,78700,!,!,9600,78700,12.2,5.4,#,78700,2,*,!,78700,!,!
Guildford,E07000209,76500,144100,53.1,5.8,65900,144100,45.7,5.7,!,144100,!,!,18400,144100,12.8,3.8,!,144100,!,!,!,144100,!,!
Mole Valley,E07000210,42100,85100,49.5,6.2,48600,85100,57.1,6.2,!,85100,!,!,5200,85100,6.1,3,!,85100,!,!,1500,85100,1.8,*
